Year,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
1999,6.6,6.1,3.2,4.3,0,0.1,0,0,0,0.4,3,6.4
2000,10.2,4.7,5.1,5.2,0,0,0,0,0,0.3,1.1,7.6
2001,13.7,14.1,10,4.5,0.7,0,0,0,0,0,3.9,15.7
2002,7.2,4.8,4.9,4.2,0.1,0,0,0,0,1.6,0.4,6.2
2003,11.6,12.9,6.8,3.4,0.4,0,0,0,0.1,5.4,3.5,10.2
2004,9.1,12.6,8.1,0.9,0.2,0,0,0,0,0,3.6,6.2
2005,3.8,12,7.9,2.4,1.3,0,0,0,0,0,12,9.7
2006,12.9,11.6,11.8,3.8,0.1,0,0,0,0,0,4.3,5.7
2007,4.1,7.5,3.7,0.9,0.4,0,0,0,0.1,0.4,5.4,11.4
2008,3.3,11,5.5,5.6,0,0,0,0,0,1.9,4.2,16.3
2009,14.8,11.5,5.7,1.9,0,0,0,0,0,0.5,0.3,14.7
2010,19.4,16.8,13.1,5.3,2,0,0,0,0.2,2.9,9.6,24.1
2011,15.6,3.5,9.6,0.3,0,0.2,0,0,0,0.2,1.1,3.6
2012,8.3,11.6,1.9,5.1,0.5,0,0,0,0,1.5,5.3,9.7
2013,15.1,13.8,19.9,8.9,1,0,0,0,0,0,5.4,3.4
2014,4.1,1.9,4.4,0.5,0,0,0,0,0,0,2.4,9.3
2015,10.1,12.5,8.2,1.9,0,0,0,0,0,0.1,2.4,0
2016,6.1,10.1,8.1,5.6,0.3,0,0,0,0,0.1,6.5,6.6
2017,11,6.2,2.2,2.8,0.5,0,0,0,0,0.5,5.6,9.4
2018,7.9,14.2,10.9,2,0.7,0,0,0,0.3,3.7,2.8,2.5
2019,12,6.1,2.7,2.7,1.6,0,0,0,0,1.1,4,5.1
2020,4.2,3.1,6.6,2.2,2.2,0,0,0,0.1,0,2.8,7.1
2021,15,10.4,6.6,11.5,2.6,0,0,0,0,0,4.9,4.3
2022,10.5,1.8,4.9,5.3,0,0,0,0,0,0,0.7,13.3
2023,8.9,8.4,6.4,3,0,0,0,0,0,0.2,3.4,4.5
2024,11.2,3.3,4.2,2,0,0,0,0,0.1,0.8,5.4,1
