Year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,43.9,53.7,91.9,144.8,131.9,173.3,226.4,144.9,149.1,109.1,63.3,37.6
2000,47.7,80.3,111.3,141.5,200.6,155.8,183,168.5,103.7,76.4,37.5,34.4
2001,68.9,82.9,91.8,137.4,206.1,179.2,166.4,155.5,108.5,96.3,48.2,73.1
2002,34.4,58.5,105,162.4,174.1,141.1,144.1,148.6,152.3,87,56.7,39
2003,68.4,86.7,167.5,186.1,173.9,189.1,133.7,186.3,136.7,108.3,61.5,44.5
2004,37.5,96.5,116.7,116.9,204.8,186.2,148.2,159.8,130.1,89.9,36.8,46.6
2005,44.8,67.5,81.5,141.6,208,172.2,174.2,201.5,133.6,74.3,75.2,42
2006,60.3,62.9,85,162.9,157.8,222.1,254.4,132.4,147.2,89.5,78.3,32.5
2007,47.1,70.7,139.2,221.5,184,134.4,162.4,181.3,131.2,102.7,51.7,49
2008,34.6,107.2,109.9,156.4,184.8,190.1,155.4,91.7,109.3,100.5,50.2,63.5
2009,62.5,43.4,130.4,156.9,187.6,197.5,147.7,149.5,129,83.4,45.6,51.2
2010,59.1,72.1,127.7,202.2,211.4,236.6,112.5,147.5,131.1,116.1,69.3,45.4
2011,55.5,50.8,154.4,207.8,169.9,199.1,177.5,128.3,118.3,83.4,61.6,28
2012,50.2,59.8,153.3,121.1,207.1,118.7,144.4,134.1,123.3,88.4,58.3,44
2013,36.4,69,99.7,159.4,183.6,188,285.4,153.1,101.6,72.1,60.5,37.8
2014,37.1,73.8,126.5,148.1,142.7,220.2,232.5,163.3,148,75.7,64.2,51.6
2015,52.5,73.2,120.6,216.8,161.9,220.2,166.6,146.6,165.5,90.5,31.1,22.7
2016,36.6,75.8,124.1,172.2,216.3,141.3,154.9,170.8,120.4,106.8,70.7,40.3
2017,49,42.9,98.3,161.7,215.6,160.7,177.1,146.7,104,69.6,59,39.4
2018,47.5,96.5,84.7,124.6,232.2,261,246.9,138.5,124.7,114.8,58.2,19.6
2019,36,104.7,111,154.7,198.3,139.9,181.8,176.4,150.5,79.3,44.6,41
2020,45.9,64.2,142.1,219.3,285.8,157.8,143.5,127.4,153.6,63.2,54.2,30
2021,34.5,66.5,107.7,233.9,171.4,176.9,205.6,124,121.5,77.7,52.7,27.5
2022,56.5,60.5,159.3,163.8,150.4,198.2,187.3,225.3,103.7,106,57.2,47.5
2023,56.5,74.4,66.5,142.6,243.6,241.8,125.1,128.3,129.4,81.9,52.1,23.8
2024,56.6,44.2,86.8,113.3,157.3,174.8,150.8,150.6,104.8,96.8,43.9,22
