Year, jan , feb ,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999, 5.20 , 4.90 ,6.4,8.5,11.8,12.5,16.2,15.1,14,10,7.2,4.8
2000, 4.40 , 5.60 ,6.5,6.8,11,13.6,14.5,15.1,13.7,9.4,6.4,5.3
2001, 3.10 , 3.90 ,4.4,6.7,11.5,13,15.2,15.1,12.6,12.3,7.3,3.5
2002, 5.50 , 6.20 ,6.8,8.1,10.7,12.7,14.2,15.2,13.1,9.4,8.3,5.2
2003, 4.10 , 3.60 ,6.9,9.2,10.6,14.4,15.9,16.6,13.1,8.2,7.6,4.8
2004, 4.90 , 4.50 ,5.7,8.5,11,14.1,14.3,16.1,13.8,9.6,7.5,5.7
2005, 5.90 , 3.80 ,6.6,8.1,10.3,14.2,15.5,14.9,14,12,5.8,4.8
2006, 3.90 , 3.40 ,4.4,7.9,11.1,14.7,17.8,15,15.2,11.9,7.5,6.1
2007, 6.50 , 5.40 ,6.4,10.4,11,14.2,13.9,14.4,13,10.4,7.4,5
2008, 6.20 , 5.10 ,5.6,7.2,12.7,12.8,15.1,14.9,12.4,9.2,6.8,3.4
2009, 2.80 , 3.90 ,6.1,8.7,10.8,14,14.9,15,12.9,10.9,8,2.9
2010, 1.20 , 2.50 ,5,8,10,14.2,15.4,14.1,13,9.7,4.6,-0.5
2011, 3.10 , 6.00 ,6,10.9,11.1,12.6,14.1,14.1,13.9,11.7,9,6.1
2012, 5.40 , 4.10 ,7.8,6.5,10.8,12.7,14.1,15.4,11.9,9,6,4.8
2013, 3.70 , 3.00 ,2.4,6.4,9.2,12.8,17.2,15.5,13.1,11.8,6.1,6.2
2014, 5.30 , 5.40 ,6.8,9.2,11.3,14.1,16.1,14,14.1,11.5,7.7,5.2
2015, 4.40 , 3.50 ,5.5,8.4,9.8,13,14.3,14.4,11.7,10.1,9,9.2
2016, 5.40 , 4.40 ,5.2,6.9,11.8,14.5,15.2,15.6,14.6,10,5.5,6.2
2017, 4.50 , 5.60 ,7.5,8.1,12.4,14.6,15.3,14.5,12.6,11.5,6.7,4.9
2018, 4.80 , 2.70 ,4,8.6,11.8,15.3,17.2,15.2,12.5,9.5,7.5,6.9
2019, 4.10 , 6.40 ,7,8.8,10.2,13.2,16.1,15.9,13.3,9.4,5.9,5.6
2020, 5.80 , 5.80 ,5.9,9.9,11.6,14,14.3,16,13,9.7,7.9,4.9
2021, 3.30 , 4.60 ,6.5,6.2,9.2,14.1,16.6,14.7,14.8,11.4,7.3,6.5
2022, 4.80 , 6.40 ,7,8.2,11.8,13.5,16.4,16.9,13.5,12,8.5,3.4
2023, 5.00 , 5.80 ,6.2,8.1,11.9,16.2,14.9,15.2,15.6,11.5,7.3,7
2024, 4.40 , 6.90 ,7,8.5,12.7,12.8,14.6,15.3,12.8,10.7,7.3,6.6
