Year,Production,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,17567.12,1463.92,1463.92,1463.92,1463.92,1463.92,1463.92,1463.92,1463.92,1463.92,1463.92,1463.92,1463.92
2000,17426.00,1452.16,1452.16,1452.16,1452.16,1452.16,1452.16,1452.16,1452.16,1452.16,1452.16,1452.16,1452.16
2001,14480.39,1206.69,1206.69,1206.69,1206.69,1206.69,1206.69,1206.69,1206.69,1206.69,1206.69,1206.69,1206.69
2002,16990.60,1415.88,1415.88,1415.88,1415.88,1415.88,1415.88,1415.88,1415.88,1415.88,1415.88,1415.88,1415.88
2003,19435.78,1619.64,1619.64,1619.64,1619.64,1619.64,1619.64,1619.64,1619.64,1619.64,1619.64,1619.64,1619.64
2004,16979.90,1414.99,1414.99,1414.99,1414.99,1414.99,1414.99,1414.99,1414.99,1414.99,1414.99,1414.99,1414.99
2005,14832.69,1236.05,1236.05,1236.05,1236.05,1236.05,1236.05,1236.05,1236.05,1236.05,1236.05,1236.05,1236.05
2006,21551.82,1795.98,1795.98,1795.98,1795.98,1795.98,1795.98,1795.98,1795.98,1795.98,1795.98,1795.98,1795.98
2007,20549.88,1712.49,1712.49,1712.49,1712.49,1712.49,1712.49,1712.49,1712.49,1712.49,1712.49,1712.49,1712.49
2008,22596.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00
2009,23236.00,1936.33,1936.33,1936.33,1936.33,1936.33,1936.33,1936.33,1936.33,1936.33,1936.33,1936.33,1936.33
2010,23180.24,1931.68,1931.68,1931.68,1931.68,1931.68,1931.68,1931.68,1931.68,1931.68,1931.68,1931.68,1931.68
2011,24861.90,2071.82,2071.82,2071.82,2071.82,2071.82,2071.82,2071.82,2071.82,2071.82,2071.82,2071.82,2071.82
2012,21579.62,1798.30,1798.30,1798.30,1798.30,1798.30,1798.30,1798.30,1798.30,1798.30,1798.30,1798.30,1798.30
2013,23108.38,1925.69,1925.69,1925.69,1925.69,1925.69,1925.69,1925.69,1925.69,1925.69,1925.69,1925.69,1925.69
2014,29447.20,2453.93,2453.93,2453.93,2453.93,2453.93,2453.93,2453.93,2453.93,2453.93,2453.93,2453.93,2453.93
2015,33010.85,2750.90,2750.90,2750.90,2750.90,2750.90,2750.90,2750.90,2750.90,2750.90,2750.90,2750.90,2750.90
2016,28909.59,2409.13,2409.13,2409.13,2409.13,2409.13,2409.13,2409.13,2409.13,2409.13,2409.13,2409.13,2409.13
2017,25857.84,2154.82,2154.82,2154.82,2154.82,2154.82,2154.82,2154.82,2154.82,2154.82,2154.82,2154.82,2154.82
2018,24788.66,2065.72,2065.72,2065.72,2065.72,2065.72,2065.72,2065.72,2065.72,2065.72,2065.72,2065.72,2065.72
2019,28610.85,2384.23,2384.23,2384.23,2384.23,2384.23,2384.23,2384.23,2384.23,2384.23,2384.23,2384.23,2384.23
2020,19447.82,1620.65,1620.65,1620.65,1620.65,1620.65,1620.65,1620.65,1620.65,1620.65,1620.65,1620.65,1620.65
2021,26721.42,2226.78,2226.78,2226.78,2226.78,2226.78,2226.78,2226.78,2226.78,2226.78,2226.78,2226.78,2226.78
2022,26072.87,2172.73,2172.73,2172.73,2172.73,2172.73,2172.73,2172.73,2172.73,2172.73,2172.73,2172.73,2172.73
2023,18176.13,1514.67,1514.67,1514.67,1514.67,1514.67,1514.67,1514.67,1514.67,1514.67,1514.67,1514.67,1514.67
2024,20300.65,1691.72,1691.72,1691.72,1691.72,1691.72,1691.72,1691.72,1691.72,1691.72,1691.72,1691.72,1691.72
,,,,,,,,,,,,,
